date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:36	2627/2627	---M-Z	200	added ('OK')	text/html	etag:%22a43-5b919e439cf6e-gzip%22	https://www.benhaddock.co.uk/	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/index.html	(from )
14:33:39	6461/6461	---M--	200	added ('OK')	text/css	etag:%22193d-5b919e4513f68%22	https://www.benhaddock.co.uk/styles.css	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/styles.css	(from https://www.benhaddock.co.uk/)
14:33:40	15116/15116	---M--	200	added ('OK')	text/html	etag:%223b0c-5b919e81fcacb%22	https://www.benhaddock.co.uk/fonts/basiersquare-regular.woff2	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/fonts/basiersquare-regular.woff2	(from https://www.benhaddock.co.uk/styles.css)
14:33:40	27472/27472	---M--	200	added ('OK')	text/html	etag:%226b50-5b919e7158ed0%22	https://www.benhaddock.co.uk/fonts/agrandir-medium.woff2	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/fonts/agrandir-medium.woff2	(from https://www.benhaddock.co.uk/styles.css)
14:33:41	33912/33912	---M--	200	added ('OK')	application/font-woff	etag:%228478-5b919e8407223%22	https://www.benhaddock.co.uk/fonts/agrandir-medium.woff	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/fonts/agrandir-medium.woff	(from https://www.benhaddock.co.uk/styles.css)
14:33:42	21432/21432	---M--	200	added ('OK')	application/font-woff	etag:%2253b8-5b919e801c353%22	https://www.benhaddock.co.uk/fonts/basiersquare-regular.woff	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/fonts/basiersquare-regular.woff	(from https://www.benhaddock.co.uk/styles.css)
14:33:43	171818/171818	---M--	200	added ('OK')	image/png	etag:%2229f2a-5b919ea1f0546%22	https://www.benhaddock.co.uk/img/small/image-fatsoma@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-fatsoma@2x.png	(from https://www.benhaddock.co.uk/styles.css)
14:33:43	141770/141770	---M--	200	added ('OK')	image/png	etag:%22229ca-5b919e86eb5d7%22	https://www.benhaddock.co.uk/img/small/image-wrangler@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-wrangler@2x.png	(from https://www.benhaddock.co.uk/styles.css)
14:33:50	107682/107682	---M--	200	added ('OK')	image/png	etag:%221a4a2-5b919e99eaa08%22	https://www.benhaddock.co.uk/img/small/image-chester-zoo@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-chester-zoo@2x.png	(from https://www.benhaddock.co.uk/styles.css)
14:33:54	169832/169832	---M--	200	added ('OK')	image/png	etag:%2229768-5b919e9f50751%22	https://www.benhaddock.co.uk/img/small/image-fatsoma@3x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-fatsoma@3x.png	(from https://www.benhaddock.co.uk/styles.css)
14:33:55	286348/286348	---M--	200	added ('OK')	image/png	etag:%2245e8c-5b919e8a39109%22	https://www.benhaddock.co.uk/img/small/image-wrangler@3x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-wrangler@3x.png	(from https://www.benhaddock.co.uk/styles.css)
14:33:56	179996/179996	---M--	200	added ('OK')	image/png	etag:%222bf1c-5b919e8eadaf6%22	https://www.benhaddock.co.uk/img/small/image-chester-zoo@3x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/small/image-chester-zoo@3x.png	(from https://www.benhaddock.co.uk/styles.css)
14:34:11	432241/432241	---M--	200	added ('OK')	image/png	etag:%2269871-5b919e7e2547b%22	https://www.benhaddock.co.uk/img/large/image-chester-zoo@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/large/image-chester-zoo@2x.png	(from https://www.benhaddock.co.uk/styles.css)
14:34:12	396519/396519	---M--	200	added ('OK')	image/png	etag:%2260ce7-5b919e9cb383c%22	https://www.benhaddock.co.uk/img/large/image-fatsoma@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/large/image-fatsoma@2x.png	(from https://www.benhaddock.co.uk/styles.css)
14:34:32	849226/849226	---M--	200	added ('OK')	image/png	etag:%22cf54a-5b919f1ea7eff%22	https://www.benhaddock.co.uk/img/large/image-wrangler@2x.png	/storage/emulated/0/websites/portfolio/port/www.benhaddock.co.uk/img/large/image-wrangler@2x.png	(from https://www.benhaddock.co.uk/styles.css)
